category,key,comment
animal,dog,ワンちゃんのフードを見直すときは、いきなり全部変えず、少しずつ量を変えていくのがおすすめです。まずはサンプルや小袋で試してみてくださいね
animal,cat,ネコちゃんのフードを見直すときは、いきなり全部変えず、少しずつ量を変えていくのがおすすめです。まずはサンプルや小袋で試してみてくださいね。肉食寄りなので、合わない素材がないかもあわせて見てあげてください
cond,tear,"涙やけの相談は、ワンちゃんで特に多いです。
ネコちゃんでも顔周りの汚れは見ますが、同じ選び方がそのまま当てはまるとは限りません。pet925では「涙やけが治るフード」は扱っていません。原因はフード以外にもあるので、まずは様子を見ながら、気になるときは獣医師さんに相談していただけると安心です。

このタグでは、タンパク源の見直し・穀物不使用・善玉菌など、気になるときに候補に上がりやすい条件の商品を出しています。下の一覧は人気順ではありません。

フードを見るときは、こんなところをチェックしています。
・主原料が分かりやすい肉や魚か（「肉類」だけ、など曖昧すぎないか）
・着色料や香料など、負担になりやすい添加が目立たないか
・乳酸菌(納豆菌)やオリゴ糖など、お腹まわりを意識した配合があるか
・小麦・トウモロコシ・牛肉など、合わなそうなものを避けたいときの選択肢があるか

フード以外では、食器の素材、おやつの量、顔周りの汚れ方も大事です。切り替えたあとは様子を見ながら続けて、合わないなと感じたら早めにやめてあげてくださいね。目や鼻の周りが明らかに気になるときは、自己判断せず病院へ相談してみてくださいね。"
cond,diet,"体重管理の子を見るとき、pet925ではこんなふうに案内しています。
「必ず痩せるフード」はないので、まずは様子を見ながら選ぶのがおすすめです。持病がある子は、変える前に獣医師さんへ確認してみてくださいね。

このタグでは、体重管理向けや食物繊維多めなど、食べすぎ・体重増が気になるときに候補に上がりやすい商品を出しています。下の一覧は人気順ではありません。

見るときのポイントはこんな感じです。
・量だけ極端に減らすより、満腹感が続きやすそうかを見る
・「体重管理用」「ライト」「ウェイトケア」などの表記があるか確認してみる
・主原料に肉や魚が来ていて、タンパクを極端に削っていないかを見る
・おねだりが強い子は、食物繊維が意識されたものも候補になりやすいです

避妊・去勢のあとに少しふっくらしてきてから、見直ししても遅くありません。すでに病院で肥満を指摘されている場合は、市販の体重管理フードより、獣医師さんが指定する食事療法食を優先していただけると安心です。"
cond,kidney,"腎臓や尿路の相談は、まず「いま病院で診てもらっているか」で案内が分かれます。
すでに診断がついて療法食を指示されている子は、その指示が最優先です。健康な子向けのサポート食を、自己判断で長く続けるのはおすすめできません。

このタグでは、塩分や尿路まわりが気になるときに候補に上がりやすい商品を出しています。下の一覧は人気順ではありません。「腎臓病に効く」「治る」という扱い方はしていません。

pet925で伝えている注意点はこんな感じです。
・「腎臓」と「尿路」は見方が少し違います。両方気になるときは、どちらを優先するか病院の検査結果を見て決めるのが望ましいです
・どちらも、水分をとりやすくする工夫が大事です。ドライにぬるま湯をかけたり、ウェットを併用したりしましょう
・療法食は、獣医師さんの指導のもとで選んでいただけると安心です

ネコちゃんは特に腎臓・尿路が気にされやすいので、自己判断での切り替えは避けた方が安心です。ワンちゃんでは心臓まわりと重なることもあるので、持病がある子は変える前に一度確認してみてくださいね。"
cond,skin,"皮膚のかゆみやフケ、赤みですね。体臭もきつくなるので大変だと思います。
ただ「これを食べれば治る」というフードはないので、pet925では様子を見ながらの見直しをおすすめしています。明らかに強い症状があるときは、先に病院へ相談してみてくださいね。

このタグでは、オメガ脂肪酸やタンパク源の見直し、アレルゲンへの配慮など、気になるときに候補に上がりやすい条件の商品を出しています。下の一覧は人気順ではありません。

フードを見るときは、こんなところをチェックしています。
・オメガ3・オメガ6など、油分のバランスが意識されていそうか
・牛肉・小麦・大豆など、合わなそうなものを避けたいときの選択肢があるか（魚・ラム・鹿などが候補になることもあります）
・主原料が分かりやすい肉や魚か
・ビタミンEなど、肌まわりのケアを意識した配合があるか

皮膚の生まれ変わりには時間がかかることが多いので、切り替えたあとは焦らず様子を見て、合わないなと感じたら早めにやめてあげてくださいね。"
cond,joint,"関節の相談は、シニア期だけでなく、気になり始めたタイミングでもよくあります。
「関節が治るフード」はないので、pet925では負担を増やしにくそうな選び方の案内をしています。すでに痛みが強い子は、先に獣医師さんへ相談してみてくださいね。

このタグでは、グルコサミン・コンドロイチンやオメガ3など、関節まわりが気になるときに候補に上がりやすい商品を出しています。下の一覧は人気順ではありません。

見るときのポイントはこんな感じです。
・グルコサミンやコンドロイチンなど、関節サポートの表記があるか
・サーモンオイルや緑イ貝など、オメガ3が意識されていそうか
・体重が増えると関節への負担も増えやすいので、ふっくら気味の子は体重管理もあわせて見る
・支える筋肉のために、タンパクが極端に少なくないかも確認してみる

歩き方や立ち上がりが明らかに変なときは、フード選びより先に病院へ連れて行ってあげてくださいね。"
cond,tooth,"歯のケア、毎日の歯磨きが大変という声は本当に多いです。
pet925では「フードだけで歯石が取れる」とは案内していません。あくまで補助のひとつ、くらいに考えてもらえると安心です。

このタグの案内は、ワンちゃんでよく見られる「粒の大きさ・噛みごたえ」寄りです。ネコちゃんのお口事情は少し違うこともあるので、同じ選び方がそのまま当てはまるとは限りません。下の一覧は人気順ではありません。

見るときのポイントはこんな感じです。
・丸呑みしにくい、少し噛みごたえのある粒か（主にワンちゃんで見ます）
・歯垢・歯石まわりのケア表記があるか
・お口まわりを意識した配合があるか

すでに歯がグラグラしている子や、噛む力が落ちているシニアには、硬め・大きめの粒が負担になることがあります。そのときは無理にドライでがんばらず、ウェットや別のケア方法も検討しつつ、気になる症状は病院へ相談してみてくださいね。歯磨きの練習は、小さいうちから口の中に手を入れても平気にしておくのもおすすめです。"
cond,appetite,"食いつきが悪いとの相談がよくあります。
好みは子によって違うので、「これを出せば必ず食べる」はありません。pet925では、匂いの出し方や食べ方の工夫から案内することが多いです。

このタグでは、匂いが立ちやすいものやタンパク多めなど、食べむらが気になるときに候補に上がりやすい商品を出しています。下の一覧は人気順ではありません。

まず試しやすい工夫はこんな感じです。
・カリカリにぬるま湯を少しかけて、匂いを立たせる
・トッピングは乗せるより、フードに混ぜた方がうまくいく子が多いです
・開封後の酸化で匂いが落ちることもあるので、小分け保存も大事です

ワンちゃんはお肉の匂い、ネコちゃんはお肉・お魚の強い匂いを好む傾向がありますが、個体差が大きいです。持病がある子は、あげるものを変える前に獣医師さんへ確認してみてくださいね。"
cond,gf,"グレインフリー（穀物不使用）のフードを試したいのですね。
ワンちゃんでもネコちゃんでも、合う子もいれば合わない子もいるので、pet925では「絶対これが正解」とは言わず、様子を見ながらの切り替えをおすすめしています。

このタグでは、穀物不使用の商品を出しています。下の一覧は人気順ではありません。毛艶やお腹が楽になった、という声もありますが、効果を保証するものではありません。

見るときのポイントはこんな感じです。
・主原料が分かりやすい肉や魚か
・「グレインフリー」と「グルテンフリー」は別物です。麦だけ避けるのと、穀物全般を避けるのでは範囲が違います
・肉や魚多めだとカロリーが高めなことも多いので、ふっくら気味の子は給餌量もあわせて見る

切り替えるときは少しずつで大丈夫です。合わないなと感じたら、早めに戻すか別の候補を検討してみてくださいね。"
cond,digestive,"お腹がゆるい子、便秘気味な子の相談はよくあります。
ただ「お腹が必ず整うフード」はないので、pet925では刺激が少なそうか、腸まわりを意識した配合があるかを見ながら案内しています。強い症状や長引くときは、先に病院へ相談してみてくださいね。

このタグでは、善玉菌や食物繊維など、お腹まわりが気になるときに候補に上がりやすい商品を出しています。下の一覧は人気順ではありません。

見るときのポイントはこんな感じです。
・乳酸菌やオリゴ糖など、お腹まわりを意識した配合があるか
・食物繊維のバランス（ゆるい子と硬い子で向きが違うことがあります）
・合わなそうな原材料を避けたいときの選択肢があるか

いきなり全部切り替えるより、少しずつ混ぜていく方が安心です。ワンちゃんでは涙やけや皮膚とあわせて気にされることもありますが、まずはお腹の様子を見ながら進めてみてくださいね。"
cond,lamb,"ラム肉は、ほかのお肉で合わなそうな子の見直しで、まず候補に上がることが多いです。
ただ「アレルギーが出ない」「痩せる」「涙やけに効く」といった保証はありません。pet925ではタンパク源の見直しのひとつとして案内しています（涙やけはワンちゃんで特に気にされやすいです）。

このタグでは、ラムを使った商品を出しています。下の一覧は人気順ではありません。最近は鹿や魚など、ほかのタンパク源の選択肢も増えています。犬用・猫用の表記が合っているかも確認してみてくださいね。

見るときのポイントはこんな感じです。
・原材料の最初の方にラムが来ているか
・アレルギー配慮で選ぶなら、チキンなどが混ざっていないか（単一タンパクかどうか）も確認してみる
・商品名がラムでも、裏面では別の肉が入っていることがあるので、原材料欄を見てみてくださいね

切り替えるときは少しずつで大丈夫です。合わないなと感じたら早めにやめてあげてくださいね。強い皮膚症状や明らかな不調があるときは、フード選びより先に病院へ相談してみてくださいね。"
keyword,心臓,"心臓が気になる子のフードを見るときは、まず塩分（ナトリウム）の控えめさを見ることが多いです。
ただ、pet925では「心臓によいフード」「心臓病に効く」としては扱っていません。持病がある子は、獣医師さんの指示が最優先です。ワンちゃんとネコちゃんでは必要な栄養の前提も少し違うので、ネットの一般論だけで決めない方が安心です。

検索で「心臓」と入れた方には、こんな案内をしています。
・塩分が控えめでないかを見てみる
・タウリンやカルニチン、オメガ3など、心臓まわりを意識した配合があるかも確認してみる（特にネコちゃんはタウリンが大切、と言われます）
・すでに心雑音などがある子は、一般のシニアフードより食事療法食の検討をしましょう
・健康な若い子に、厳しく制限した療法食を自己判断であげるのはおすすめしません

食べむらがあるときは、おやつやパウチを乗せるより、フードに混ぜた方がうまくいく子もいます。あげるものを変える前に、獣医師さんへ確認してみてくださいね。"
keyword,納豆菌,"納豆菌などの善玉菌は、お腹まわりでよく話題にのぼるポイントです。
ワンちゃんの涙やけが気になるときにも候補に上がることがありますが、「入れれば治る」「免疫が上がる」といった保証はありません。pet925では補助のひとつとして案内しています。

見るときのポイントはこんな感じです。
・納豆菌や乳酸菌など、お腹まわりを意識した配合があるか
・ふやかすときは熱湯ではなく、ぬるま湯か水の方が安心です（熱いと菌が弱ることがあります）
・ワンちゃんなら、タレなしの人間用納豆を少量トッピングする人もいますが、合わない子もいます
・ネコちゃんは肉食寄りなので、人間用の納豆より、ネコちゃん向けのフードやサプリの方が無難なことが多いです

合わないなと感じたら無理に続けず、気になる症状が強いときは病院へ相談してみてくださいね。"
keyword,避妊,"避妊のあとは、代謝や食欲の変化でふっくらしやすい子がいます。
ただ「手術したらすぐ専用フードに変えなきゃ」ではないので、pet925ではまず様子を見る案内をしています。

検索で「避妊」と入れた方には、こんな目安を伝えています。
・しばらくは今のフードのまま様子を見て、丸くなってきたら体重管理向けも候補になる
・おねだりが増えた子は、食物繊維多めも検討する
・量を急に大きく減らすより、様子を見ながら調整してみる
・持病がある子は、変える前に獣医師さんへ確認してみてくださいね

下の一覧は人気順ではありません。まずは量とおやつの見直しからでも十分です。"
keyword,去勢,"去勢のあとは、代謝や食欲の変化でふっくらしやすい子がいます。
ただ「手術したらすぐ専用フードに変えなきゃ」ではないので、pet925ではまず様子を見る案内をしています。

検索で「去勢」と入れた方には、こんな目安を伝えています。
・しばらくは今のフードのまま様子を見て、丸くなってきたら体重管理向けも候補になる
・おねだりが増えた子は、食物繊維多めも検討する
・量を急に大きく減らすより、様子を見ながら調整してみる
・持病がある子は、変える前に獣医師さんへ確認してみてくださいね

下の一覧は人気順ではありません。まずは量とおやつの見直しからでも十分です。"
keyword,食べむら,"食べむらの相談はよくあります。
好みは子によって違うので、「これを出せば必ず食べる」はありません。pet925では、匂いの出し方や食べ方の工夫から案内することが多いです。

まず試しやすい工夫はこんな感じです。
・素材の匂いが立ちやすそうなフードかを見てみる
・トッピングを毎日同じにせず、たまに変えてみる
・カリカリにぬるま湯を少しかけて、匂いを立たせる
・お皿を出しっぱなしにせず、しばらくしたら下げるのも一つの方法です
・ワンちゃんはお肉の匂い、ネコちゃんはお肉・お魚の強い匂いを好む傾向がありますが、個体差が大きいです

元気がない・吐く・何日も食べない、などがあるときは、フード選びより先に病院へ連れて行ってあげてくださいね。持病がある子は、あげるものを変える前に獣医師さんへ確認してみてくださいね。"
